:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 2130 UT 27 Mar 2019
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2019 01 22     2  0 1 0 0 1 1 1 2     1  0 0 0 0 1 0 0 1     3  1 1 0 0 1 1 2 2
2019 01 23    10  2 2 2 2 2 2 2 4    19  2 2 2 5 5 4 1 1    13  3 3 2 3 3 3 2 4
2019 01 24    13  3 3 3 1 2 2 3 4    11  3 2 3 2 2 2 3 3    19  4 3 4 2 1 3 4 5
2019 01 25    10  2 2 3 3 3 2 2 2    19  2 2 4 4 5 4 2 1    13  3 2 3 3 3 3 2 2
2019 01 26     5  1 2 2 1 2 2 1 0    15  1 1 3 4 4 5 0 0     7  1 2 2 1 3 3 1 0
2019 01 27     3  1 1 1 1 1 1 1 1     3  0 0 0 3 2 0 1 0     5  2 1 1 1 1 1 1 1
2019 01 28     0  1 0 0 0 0 0 0 0     1  0 0 0 1 1 0 0 0     1  1 0 0 0 0 0 0 0
2019 01 29     0  1 0 0 0 0 0 0 0     2  0 0 0 2 2 0 0 0     2  1 0 0 0 1 0 0 0
2019 01 30     0  0 0 0 0 0 0 1 0     0  0 0 0 0 0 0 1 0     2  0 0 0 0 0 0 1 1
2019 01 31    12  1 0 1 1 3 2 3 5    23  0 0 2 3 6 5 2 4    14  1 0 1 1 3 3 3 5
2019 02 01    10  2 3 3 2 2 2 2 3    40  3 4 5 5 6 6 3 2    17  3 4 3 2 3 3 3 4
2019 02 02    11  3 3 3 2 2 3 2 2    24  3 3 4 5 5 4 2 2    17  4 4 3 2 2 4 3 3
2019 02 03     8  3 3 3 0 1 1 1 2    12  3 3 3 2 3 3 2 2    11  4 3 3 1 1 2 2 3
2019 02 04     5  1 1 1 0 2 1 3 2     7  0 0 0 1 4 3 2 2     7  1 0 1 0 2 2 3 3
2019 02 05     3  3 0 0 0 1 1 1 0     3  2 1 1 2 1 0 0 0     5  3 1 1 0 0 1 1 1
2019 02 06     7  1 2 2 3 2 1 2 2    19  0 1 2 5 6 1 1 2    10  2 2 2 3 3 1 2 3
2019 02 07     3  1 1 1 0 1 0 2 1     2  0 0 1 0 1 1 1 1     4  2 1 1 0 0 1 2 1
2019 02 08     7  1 2 2 2 1 1 2 3     7  2 0 2 3 1 1 1 3     9  2 2 2 1 1 1 2 4
2019 02 09     6  2 2 2 2 1 2 2 0    11  2 2 2 4 3 2 2 2    10  3 2 2 2 2 3 3 1
2019 02 10     4  2 2 0 1 1 1 1 1     2  1 2 1 1 1 0 0 0     6  2 3 1 1 1 1 1 1
2019 02 11     7  0 1 2 1 3 3 2 2    14  0 0 2 1 5 5 1 1     9  1 1 2 1 3 3 2 3
2019 02 12     5  1 2 1 1 1 2 1 2     4  1 1 1 0 3 1 0 1     6  2 3 1 1 1 1 0 3
2019 02 13    11  1 3 3 3 3 3 1 2    28  1 1 4 6 6 4 2 0    13  2 3 3 4 3 3 2 2
2019 02 14     8  2 3 2 3 1 1 2 1    14  1 2 3 6 1 0 1 1    10  3 3 3 3 1 0 2 1
2019 02 15     4  3 1 1 0 1 1 1 0     0  0 0 1 0 0 0 0 0     4  3 1 1 0 1 0 1 0
2019 02 16     3  0 0 1 0 2 2 1 0     1  0 0 1 0 1 1 0 0     3  0 0 1 0 1 2 1 0
2019 02 17     3  1 0 1 0 1 0 2 2     2  0 0 1 1 0 0 1 1     4  1 0 1 1 0 0 2 2
2019 02 18     5  3 3 0 1 1 1 1 0     9  2 4 1 3 3 2 0 0     7  3 3 1 1 1 1 1 1
2019 02 19     2  0 1 2 0 1 0 0 0     1  0 0 1 1 1 0 0 0     3  1 1 1 0 1 0 1 1
2019 02 20     2  1 0 0 0 1 1 1 2     1  0 0 0 0 0 1 1 1     3  1 0 0 0 1 1 2 2
2019 02 21     9  2 1 4 2 2 1 1 3    15  1 1 4 4 5 2 1 1    11  3 1 4 2 3 2 1 3
2019 02 22     3  1 1 1 1 0 1 1 1     2  1 1 1 2 1 0 0 0     4  2 0 1 1 0 0 1 1
2019 02 23     2  0 0 0 0 1 2 1 0     0  0 0 0 0 0 0 1 0     3  1 0 0 0 0 1 1 0
2019 02 24     1  0 0 1 0 1 1 0 0     1  0 0 0 0 2 0 0 0     2  0 0 1 0 1 0 0 0
2019 02 25     2  0 0 1 1 1 1 0 1     0  0 0 0 1 0 0 0 0     2  1 0 1 1 0 0 0 1
2019 02 26     2  1 0 0 1 1 0 1 0     1  0 0 0 2 0 0 0 0     2  1 0 0 2 0 0 0 1
2019 02 27     9  0 0 1 1 3 3 2 4    13  0 0 0 2 5 4 2 3    10  1 0 1 1 3 3 3 4
2019 02 28    17  4 3 2 3 4 3 3 3    34  3 2 3 6 6 5 3 3    26  5 3 2 4 5 4 4 3
2019 03 01    18  4 4 3 3 3 3 3 3    36  3 4 5 6 5 5 3 2    24  4 5 3 3 3 4 4 4
2019 03 02     9  3 3 3 2 1 2 1 1    24  3 4 4 5 5 3 2 1    12  4 3 3 2 2 3 2 2
2019 03 03     6  2 3 1 1 2 1 1 2     6  2 3 1 1 3 1 0 0     6  2 3 1 1 2 1 1 2
2019 03 04     7  2 3 2 2 2 1 1 1    21  1 3 3 6 5 2 0 1     7  2 3 2 2 2 1 1 2
2019 03 05     4  2 1 1 1 1 1 1 2     3  1 1 0 0 2 2 0 1     5  2 2 1 1 1 1 1 2
2019 03 06     7  1 1 3 1 2 2 2 2     7  1 1 3 0 4 1 1 0     8  1 1 3 2 2 1 2 2
2019 03 07     5  1 0 1 0 3 1 2 2    11  0 0 0 0 5 4 2 2     8  1 1 1 1 3 2 3 3
2019 03 08     3  2 0 1 1 0 1 1 1     8  1 0 2 5 1 0 0 1     5  3 1 2 2 0 0 1 2
2019 03 09     4  1 0 1 1 2 2 1 2     7  0 0 1 3 4 2 1 1     5  1 0 1 2 2 1 1 2
2019 03 10     3  2 2 1 0 1 1 1 0     2  0 2 1 1 0 0 0 0     4  2 2 1 0 1 0 1 0
2019 03 11     3  0 0 1 1 2 1 1 1     4  0 0 0 4 2 0 0 0     3  0 0 1 2 1 0 1 0
2019 03 12     5  1 1 3 2 2 1 0 1     9  1 0 4 4 3 1 0 0     7  2 1 3 2 2 1 1 1
2019 03 13     4  1 2 1 0 1 2 2 0     3  1 1 2 2 0 0 1 0     4  1 2 2 1 0 0 2 1
2019 03 14     6  0 1 2 1 3 1 2 2     9  0 0 3 3 4 3 0 1     7  0 1 2 1 3 1 2 3
2019 03 15     5  2 2 2 0 0 2 2 1    11  2 4 4 1 0 1 3 1     7  3 3 2 1 0 1 2 1
2019 03 16     7  1 1 1 3 2 1 1 3    20  1 1 2 6 4 4 2 2    12  1 2 1 3 3 2 2 4
2019 03 17    14  4 4 4 3 2 1 1 1    40  5 4 7 5 4 4 1 0    16  5 4 4 3 2 2 1 1
2019 03 18     2  0 1 1 0 1 1 1 1     1  1 0 0 0 1 1 0 0     3  1 1 1 1 1 1 1 1
2019 03 19     5  1 1 1 1 2 2 2 2     8  1 0 2 3 4 2 1 1     7  1 1 1 2 2 1 3 3
2019 03 20     5  1 2 2 1 2 1 1 1     5  1 1 1 3 3 1 0 0     5  1 2 2 1 2 1 1 1
2019 03 21     2  0 1 0 1 1 1 1 0     0  0 0 0 1 0 0 0 0     2  0 1 1 1 1 0 0 0
2019 03 22     2  0 0 1 0 1 1 0 1     0  0 0 1 0 0 0 0 0     1  0 0 1 0 0 0 0 0
2019 03 23     2  0 1 0 1 1 1 1 1     1  0 0 0 2 0 0 0 0     1  0 0 0 1 0 0 0 0
2019 03 24     3  0 0 0 1 1 2 1 2     0  0 0 0 0 0 0 0 1     3  0 0 1 1 0 1 0 2
2019 03 25     5  2 2 0 1 1 2 1 2     1  1 0 0 0 0 1 0 1     5  2 2 1 1 1 2 1 2
2019 03 26     5  2 2 0 1 2 1 1 2     2  2 1 0 0 1 0 0 1     6  3 3 1 1 1 0 0 2
2019 03 27    -1  2 2 3 3 2 1 2-1    -1  0 1 4 5 4 1 0-1     9  2 2 3 3 2 1 2-1
