:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 0030 UT 09 Dec 2018
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2018 10 15     7  3 1 1 2 2 2 2 2     9  2 1 1 3 3 3 2 2    10  3 2 2 2 2 3 3 3
2018 10 16     4  2 0 1 1 2 2 1 0     4  2 0 0 3 2 1 1 0     5  2 1 1 2 2 2 1 1
2018 10 17     3  0 1 2 0 1 1 1 1     2  0 0 3 0 0 0 0 0     3  0 1 2 0 0 0 0 1
2018 10 18     0  0 0 0 0 0 0 1 0     0  0 0 1 0 0 0 0 0     2  1 1 1 0 0 0 0 0
2018 10 19     1  0 0 0 0 1 1 0 0     0  0 0 0 0 0 0 0 0     2  0 0 0 0 0 0 0 1
2018 10 20     0  0 0 0 0 0 0 1 0     0  0 0 0 0 0 0 0 0     2  1 0 0 0 0 0 0 0
2018 10 21     4  0 0 1 2 2 2 1 1     9  0 0 0 5 3 2 1 0     4  0 0 0 2 2 2 1 1
2018 10 22     5  2 2 1 1 2 2 1 1     6  1 1 1 3 3 1 0 1     6  3 2 2 1 1 1 1 1
2018 10 23     3  1 1 1 1 1 1 1 0     5  0 1 1 4 2 1 0 0     4  1 2 1 1 1 1 0 0
2018 10 24     2  1 0 1 1 1 0 1 1     1  0 0 0 2 1 0 0 0     3  1 0 1 2 0 0 1 1
2018 10 25     5  1 1 1 2 1 2 2 1     3  0 0 0 3 1 1 1 1     6  0 2 1 2 1 2 2 2
2018 10 26     6  2 1 1 1 2 2 2 2     4  0 0 0 3 2 1 1 1     6  2 1 1 2 2 1 2 2
2018 10 27     3  0 2 2 1 0 2 1 0     2  1 0 1 2 1 0 0 0     4  1 2 2 2 0 0 1 0
2018 10 28     2  1 0 1 0 1 2 1 0     0  0 0 1 0 0 0 0 0     4  2 1 1 1 0 1 1 0
2018 10 29     1  0 0 0 0 1 1 0 0     0  0 0 0 0 0 0 0 0     3  1 1 1 1 1 1 1 0
2018 10 30     4  2 2 0 0 1 2 1 1     0  0 0 0 0 0 0 0 0     4  2 2 1 1 0 1 1 1
2018 10 31     3  1 0 0 1 2 1 1 1     2  0 0 0 0 2 2 1 0     4  1 0 0 1 1 1 1 2
2018 11 01     5  1 1 2 2 1 1 2 1     7  0 0 3 4 2 1 0 0     5  1 1 2 2 1 1 1 1
2018 11 02     3  2 1 0 1 1 1 1 0     3  0 0 2 3 1 0 0 0     4  2 1 1 2 1 1 1 0
2018 11 03     3  2 2 0 0 1 0 0 1     0  0 0 0 0 0 0 0 0     4  2 2 1 0 0 0 0 1
2018 11 04     7  1 1 1 1 2 2 3 3    12  0 0 0 1 3 4 4 4    16  1 1 1 1 1 3 5 5
2018 11 05    22  4 5 4 4 3 2 3 2    44  3 5 6 6 5 5 4 2    35  4 6 5 5 3 3 4 3
2018 11 06     9  2 4 2 2 2 1 1 2    15  1 2 4 5 4 1 1 1    10  2 4 2 2 2 1 1 3
2018 11 07     8  2 3 3 1 2 1 2 2    12  2 2 5 1 3 2 1 1    10  3 3 3 1 1 1 2 3
2018 11 08    12  3 4 2 4 2 1 1 1    13  0 1 2 6 2 2 1 0    11  3 4 2 3 1 1 2 1
2018 11 09     6  1 0 1 2 1 2 2 3    15  1 1 1 4 4 3 3 4    10  1 1 1 2 1 3 3 4
2018 11 10    10  2 2 1 3 2 2 3 3    18  2 1 2 6 3 2 2 3    13  2 2 2 4 2 1 3 4
2018 11 11     5  2 1 2 1 1 1 2 2     7  3 2 2 3 2 0 1 1     7  3 2 2 1 1 1 2 2
2018 11 12     6  2 2 2 1 2 1 2 2    10  1 3 4 3 2 1 1 2     9  2 3 3 1 2 1 2 2
2018 11 13     3  1 1 1 1 1 1 1 0     2  1 0 2 2 0 0 0 0     4  2 1 1 1 1 0 1 0
2018 11 14     2  0 0 1 1 1 1 1 0     1  0 0 0 0 2 1 0 0     3  0 1 1 1 1 1 1 0
2018 11 15     1  0 0 0 0 1 1 0 0     0  0 0 0 0 0 1 0 0     2  0 0 0 0 0 1 0 0
2018 11 16     1  0 0 1 0 0 2 0 0     1  0 0 0 0 1 1 0 0     2  0 0 1 0 0 1 0 0
2018 11 17     1  0 0 1 0 0 1 0 0     0  0 0 0 0 0 0 0 0     1  0 0 1 0 0 0 0 0
2018 11 18     2  0 1 0 0 1 1 1 2     2  0 0 0 2 2 0 0 0     3  0 1 0 1 1 1 0 1
2018 11 19     2  1 1 1 0 0 0 1 1     1  0 0 1 0 0 1 0 0     4  1 2 1 1 0 1 1 1
2018 11 20     5  2 3 1 1 1 1 1 1     5  0 3 1 3 1 0 1 0     6  2 3 1 1 0 1 1 1
2018 11 21     3  1 2 1 1 1 1 0 1     2  0 2 1 2 0 0 0 0     5  1 3 1 1 1 0 0 1
2018 11 22     1  1 0 0 0 1 1 0 0     1  0 0 1 1 0 0 0 0     3  1 1 1 1 1 1 1 0
2018 11 23     1  0 1 0 1 0 0 0 0     0  0 0 0 1 0 0 0 0     3  1 1 1 1 0 0 1 1
2018 11 24     2  0 0 1 0 1 1 1 2     1  0 0 1 0 1 1 0 0     4  1 0 1 1 1 2 1 1
2018 11 25     3  2 1 0 1 1 1 0 1     3  0 0 0 2 3 0 0 0     3  1 1 0 1 1 1 0 1
2018 11 26     2  1 0 0 0 1 1 0 1     0  0 0 0 0 0 0 0 0     2  1 1 0 0 0 0 0 1
2018 11 27     4  0 1 0 1 2 2 2 2     2  0 0 0 1 1 2 1 1     5  1 1 0 1 2 2 2 2
2018 11 28     2  1 1 0 0 0 1 1 1     1  0 0 0 1 0 0 2 0     3  1 1 0 0 0 1 1 1
2018 11 29     2  2 0 0 0 1 1 0 1     1  0 0 0 2 0 0 0 0     3  2 0 0 0 0 0 0 1
2018 11 30     2  1 0 0 1 1 1 0 0     0  0 0 0 0 0 0 0 0     3  1 0 0 0 1 0 0 0
2018 12 01     4  0 1 0 0 2 3 2 1     6  0 1 0 1 3 3 2 1     8  1 1 1 1 2 3 3 2
2018 12 02     9  2 2 3 2 2 2 2 3    15  1 1 3 5 4 3 2 1    12  2 2 3 2 2 3 3 4
2018 12 03     9  2 1 2 1 3 3 3 2    21  1 1 2 5 5 5 2 1    10  3 2 2 1 3 3 3 2
2018 12 04     5  3 2 1 1 1 1 1 1     4  2 2 1 2 0 1 1 0     8  3 3 2 2 1 2 1 2
2018 12 05     3  2 2 0 0 1 1 0 2     3  0 0 0 2 3 1 0 0     5  2 2 0 1 1 1 0 2
2018 12 06     3  2 1 1 0 1 2-1 0     6  0 1 2 2 4 1 0 0     5  2 2 1 1 2 1 1 1
2018 12 07     8  1 2 3 2 2 1 3 2     9  0 1 2 3 4 2 2 2    10  1 3 3 2 2 2 3 2
2018 12 08    10  2 3 3 2 2 3 2 1    18  2 2 4 4 3 5 2 2    10  2 3 3 2 2 3 2 2
2018 12 09    -1 -1-1-1-1-1-1-1-1    -1 -1-1-1-1-1-1-1-1    -1 -1-1-1-1-1-1-1-1
