:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 2131 UT 07 Oct 2018
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2018 08 19     8  3 2 2 2 2 1 2 2     7  1 2 2 3 1 2 2 1     8  2 2 2 2 1 2 2 2
2018 08 20    15  4 4 1 2 3 3 3 2    21  4 4 2 4 4 4 3 2    14  4 3 2 2 3 3 4 2
2018 08 21     6  2 1 2 2 2 1 1 2    10  2 2 4 4 2 1 0 1     7  3 2 2 2 1 1 1 2
2018 08 22     8  2 3 1 1 3 2 1 2     5  2 2 3 1 1 1 0 1     6  2 3 2 1 2 1 0 2
2018 08 23     5  2 1 2 1 2 1 2 1     2  1 1 2 0 1 0 1 0     5  2 1 2 1 1 1 1 1
2018 08 24     7  0 1 2 2 3 1 3 1    11  0 0 1 3 5 3 1 0     5  0 1 2 2 3 1 1 1
2018 08 25    12  1 1 3 3 3 2 2 4     6  2 2 1 1 1 1 2 3    11  1 1 2 2 2 1 3 4
2018 08 26    34  4 4 6 4 4 5 4 2    90  4 5 8 7 7 6 4 3    76  6 7 7 5 5 6 5 3
2018 08 27    20  3 3 3 4 4 4 4 2    56  2 2 6 6 6 7 5 1    26  2 3 3 4 4 6 5 3
2018 08 28     9  3 3 2 3 2 1 1 2    21  3 2 3 6 5 0 1 0    10  4 3 2 3 2 1 0 1
2018 08 29     7  2 2 2 2 2 2 2 2     5  1 1 1 3 1 1 1 1     6  2 2 1 1 1 2 1 2
2018 08 30     5  2 1 1 2 2 0 1 2     2  1 1 1 1 0 0 0 0     4  2 1 1 1 1 0 1 2
2018 08 31     4  1 1 1 1 2 1 2 0     4  1 1 0 2 2 2 2 0     5  2 1 1 1 1 2 2 1
2018 09 01     5  1 1 0 2 3 1 1 1     2  1 1 0 0 1 0 1 1     5  1 1 1 1 2 1 2 1
2018 09 02     5  1 2 2 1 1 1 1 2     2  1 1 1 0 0 1 1 1     5  2 2 2 1 1 1 1 2
2018 09 03     4  1 2 0 1 2 2 1 1     3  2 2 0 1 0 2 0 0     5  2 2 1 1 1 1 1 1
2018 09 04     9  2 3 3 1 2 1 2 3     7  1 3 3 2 1 1 1 1     9  2 3 3 1 1 2 2 3
2018 09 05     9  3 2 2 2 3 2 2 1    20  2 2 1 6 4 4 1 1    11  4 3 2 3 3 2 2 1
2018 09 06     5  2 1 2 1 1 1 1 2     7  1 1 3 2 3 2 1 0     6  2 1 2 1 1 1 1 2
2018 09 07     5  3 2 0 1 2 2 1 0     4  1 1 1 2 2 2 0 0     5  2 2 1 1 1 1 1 1
2018 09 08     5  0 1 2 2 2 1 1 2     2  1 0 1 0 1 0 0 1     5  1 1 3 1 1 1 1 2
2018 09 09     6  1 1 2 2 2 1 2 2     4  0 1 2 0 1 1 2 2     7  2 2 1 1 2 1 2 3
2018 09 10    15  1 1 1 3 3 3 3 5    23  0 0 2 3 5 5 5 3    21  1 1 1 2 3 5 5 5
2018 09 11    24  4 4 5 5 3 2 3 2    62  2 4 8 7 5 3 3 2    35  4 5 6 6 4 3 3 2
2018 09 12    10  2 2 1 2 2 3 3 3     9  2 1 1 4 3 2 2 1     9  2 2 1 2 2 2 2 3
2018 09 13    17  4 4 4 3 2 3 2 2    31  3 3 4 6 5 5 2 2    17  4 4 3 3 3 3 2 3
2018 09 14    11  4 3 2 2 2 2 2 2    24  5 4 3 5 4 2 3 2    16  5 4 3 2 2 2 3 3
2018 09 15     7  3 2 2 2 2 1 1 2     8  2 2 3 3 2 1 1 1     8  3 3 2 2 2 1 1 2
2018 09 16     5  2 1 2 2 1 1 1 1     4  2 1 2 2 2 0 1 0     6  2 2 2 2 1 0 1 2
2018 09 17     9  3 2 2 2 2 2 2 3     8  2 3 3 2 2 2 1 1    11  3 3 2 2 2 2 3 3
2018 09 18     5  2 1 2 2 1 1 1 1    12  2 1 3 5 3 1 1 1     6  3 2 2 2 1 1 1 1
2018 09 19     4  1 2 2 1 1 1 1 0     4  1 1 3 2 0 0 0 0     4  1 3 2 1 0 1 0 0
2018 09 20     2  1 0 0 1 1 0 1 0     1  1 0 0 1 0 0 0 0     2  1 0 0 1 1 0 0 0
2018 09 21     6  0 1 0 1 1 1 2 4     3  0 1 0 0 2 1 1 2     9  1 1 1 1 1 1 2 5
2018 09 22    20  4 3 3 4 4 2 3 4    30  5 2-1-1 6 3 3 3    27  5 4 3 4 4 3 4 4
2018 09 23     9  3 2 2 3 2 1 2 2    24  3 4 4 5 5 3 2 1    12  4 3 2 3 3 2 2 2
2018 09 24     5  2 2 2 1 2 0 1 2     9  2 2 2 4 2 1 1 2     7  3 3 2 2 2 1 2 2
2018 09 25     7  2 2 2 2 2 2 2 2     5  1 2 1 2 2 2 1 1    11  2 3 1 3 3 2 3 3
2018 09 26     6  1 2 2 1 2 2 1 2    10  1 0 4 3 3 2 1 2     8  1 2 3 1 2 2 1 3
2018 09 27     6  1 3 2 2 2 1 0 2     8  1 1 3 4 3 1 0 0     7  2 2 3 2 2 1 1 2
2018 09 28     8  2 3 3 1 2 1 1 2     7  2 3 4 0 0 0 1 2     8  3 3 3 1 1 0 1 2
2018 09 29     9  2 3 2 2 2 2 1 3    18  1 1 4 5 5 2 1 2    10  2 3 2 3 2 2 1 3
2018 09 30     4  1 2 0 1 1 1 2 2     3  1 1 0 1 2 0 1 1    19  1 3 0 1 1 0 2 2
