:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 2130 UT 07 Jul 2018
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2018 06 13     7  0 2 1 2 2 2 2 3     1  1 1 1 0 0 0 0 0     5  1 1 2 1 1 1 1 2
2018 06 14     7  3 2 2 2 2 1 1 1     3  2 1 1 1 2 0 0 1     5  2 1 2 1 1 1 1 1
2018 06 15     6  2 1 1 1 2 2 3 1     2  1 2 0 0 0 1 0 0     4  1 1 1 1 1 1 1 1
2018 06 16     4  1 1 1 1 2 2 1 1     1  1 1 0 0 0 0 0 0     3  1 1 1 1 1 1 0 1
2018 06 17     7  2 1 1 2 3 2 2 2     2  1 1 1 1 0 0 1 1     5  1 1 1 1 1 1 2 2
2018 06 18    20  5 4 4 4 2 3 1 2    33  4 3 5 6 6 2 1 2    19  5 4 4 4 3 2 2 2
2018 06 19     6  2 2 2 2 2 1 2 1    11  2 2 3 4 4 0 1 1     6  2 2 3 2 2 1 1 1
2018 06 20     7  1 2 3 3 2 1 1 1     6  1 2 3 3 1 1 0 1     5  1 2 2 2 1 1 1 1
2018 06 21     4  1 1 1 1 2 1 1 1     2  1 1 1 1 0 0 1 0     3  1 1 1 1 1 0 1 0
2018 06 22     4  0 1 1 2 2 1 1 1     1  0 1 1 0 0 0 1 0     4  0 1 1 1 1 1 1 1
2018 06 23    15  2 3 2 4 3 2 3 4    24  1 4 2 5 5 4 3 3    16  2 3 2 4 4 3 2 4
2018 06 24     8  2 2 3 2 2 1 2 2    11  3 2 3 3 4 1 1 1     7  2 2 3 2 2 1 1 2
2018 06 25    10  2 1 1 2 2 2 3 4    15  1 1 1 2 5 4 3 3    12  1 1 1 2 2 2 3 5
2018 06 26    17  5 3 3 3 3 2 3 2    33  5 4 4 5 5 4 4 3    20  5 3 3 4 3 3 3 2
2018 06 27     7  1 3 2 1 2 1 2 2    11  2 3 2 4 3 1 2 2     7  1 2 2 2 2 1 1 3
2018 06 28     5  1 1 1 1 2 2 2 1     5  2 1 1 1 2 1 1 2     5  2 1 1 1 2 1 2 1
2018 06 29     3  1 2 0 1 1 1 1 1     2  2 1 1 1 0 1 0 0     4  1 2 1 1 1 1 0 0
2018 06 30     3  0 0 1 2 2 1 1 1     2  0 1 0 1 1 1 1 1     6  0 1 1 1 1 1 0 1
