:Product: Daily Geomagnetic Data     2017_DGD.txt
:Issued: 2130 UT 07 Apr 2017
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#                        2017 Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2017 02 19     9  3 3 2 1 2 2 3 0     8  2 2 2 3 3 2 2 0    10  3 3 2 1 2 3 3 1
2017 02 20     8  1 3 2 2 2 2 2 2    12  1 2 4 3 3 3 2 1    10  1 3 2 2 2 3 3 2
2017 02 21     4  1 2 1 0 1 2 0 2     1  0 0 1 0 0 0 0 1     4  2 2 1 0 0 1 0 2
2017 02 22     8  3 3 3 2 1 1 1 1    20  2 4 3 6 3 2 2 1    10  4 3 3 2 1 1 2 1
2017 02 23     8  2 2 2 2 2 3 2 2    11  1 2 2 2 4 4 2 1    11  2 2 2 2 2 3 2 3
2017 02 24    15  4 3 3 4 3 2 1 2    24  3 3 3 6 5 2 2 2    20  5 4 3 4 4 3 2 3
2017 02 25     6  2 3 2 1 1 1 1 1     4  2 2 2 2 1 0 0 0     7  3 3 2 2 1 0 1 2
2017 02 26     0  0 1 0 0 0 0 0 0     0  0 0 0 0 1 0 0 0     2  1 1 0 0 1 0 0 0
2017 02 27     6  1 2 1 1 2 2 2 2    14  0 0 4 5 4 1 2 1     8  1 2 2 2 1 1 3 3
2017 02 28     5  2 2 1 1 2 0 2 2     6  1 1 1 2 3 1 1 2     8  3 2 2 1 1 1 2 3
2017 03 01    21  4 3 3 4 3 3 4 4    50  1 2 3 6 7 6 4 5    36  3 3 3 5 5 4 5 6
2017 03 02    23  5 4 4 4 4 2 3 2    49  4 4 5 7 6 4 4 3    32  5 4 4 5 5 3 4 3
2017 03 03    15  3 4 4 3 2 3 2 1    52  3 4 7 6 5 6 3 2    22  4 4 5 4 3 4 2 1
2017 03 04    18  5 4 2 2 2 3 2 4    31  3 4 4 6 5 4 2 3    22  5 5 3 3 3 3 2 4
2017 03 05    11  2 2 3 3 2 2 3 3    24  3 2 4 5 5 3 3 3    17  3 2 3 3 3 3 4 4
2017 03 06    16  3 3 2 3 3 3 4 3    36  4 2 2 6 6 5 4 3    25  4 3 2 4 4 4 5 4
2017 03 07    13  3 3 4 3 2 2 2 2    33  3 5 4 5 5 5 3 3    16  3 3 4 3 3 3 3 3
2017 03 08     9  3 1 1 2 2 2 3 3    16  3 1 1 4 5 2 2 3    12  3 1 1 2 3 2 3 4
2017 03 09    10  3 3 2 3 2 2 2 2    32  3 2 5 6 5 5 2 1    15  4 3 2 3 3 2 3 2
2017 03 10    14  3 3 4 4 3 1 1 1    22  2 2 4 6 5 2 0 1    12  2 3 4 4 3 1 1 2
2017 03 11     4  0 0 1 1 1 1 1 3     4  1 1 1 1 0 1 2 2     6  1 1 2 1 0 1 2 3
2017 03 12     7  3 3 2 1 2 1 1 0    12  2 3 3 1 5 2 0 1     9  3 4 2 1 2 1 1 1
2017 03 13     2  0 2 1 0 1 1 1 0     2  0 1 2 1 0 0 0 0     3  0 2 1 1 0 0 0 0
2017 03 14     3  1 2 0 0 2 1 1 1     2  0 0 0 1 2 2 0 0     5  1 2 0 0 2 2 1 1
2017 03 15     5  1 1 2 1 1 1 1 3     6  0 1 3 2 2 1 1 2     7  1 2 2 2 1 1 1 3
2017 03 16     5  3 2 0 1 2 1 1 1     3  2 1 0 0 2 1 2 0     6  3 2 0 1 1 0 1 1
2017 03 17     3  0 2 1 0 1 1 1 1     2  1 0 1 1 0 1 0 0     4  1 2 1 0 0 0 1 2
2017 03 18     1  1 0 0 0 0 1 0 0     1  1 0 0 0 0 0 1 1     2  1 0 0 0 0 0 1 1
2017 03 19     2  0 0 1 1 0 1 0 1     0  0 0 1 0 0 0 0 0     2  0 0 1 1 0 0 0 1
2017 03 20     2  0 0 1 0 1 2 1 1     1  0 0 1 1 0 0 0 0     3  1 0 1 1 0 1 0 0
2017 03 21    18  2 3 3 2 3 4 4 4    24  1 2 4 3 3 6 4 3    26  2 3 4 2 3 5 5 4
2017 03 22    19  4 4 2 3 3 3 3 4    49  3 5 3 7 5 6 4 3    27  4 4 3 4 4 4 4 5
2017 03 23     9  4 3 2 2 1 2 1 1    16  4 3 5 4 1 1 1 0    11  4 4 2 2 1 2 1 1
2017 03 24     7  2 3 2 0 2 2 2 1     6  3 2 1 1 3 2 0 0     6  2 3 2 0 2 2 1 0
2017 03 25     3  0 2 0 0 2 2 1 1     4  0 0 1 3 2 1 0 0     4  0 2 1 1 1 1 0 1
2017 03 26     3  1 0 0 1 1 1 1 2     1  1 0 0 2 0 0 0 0     4  2 0 1 1 1 0 1 1
2017 03 27    34  2 3 5 5 5 4 5 4    59  1 5 5 7 6 6 5 4    54  2 5 5 6 5 5 6 5
2017 03 28    22  5 5 3 3 3 2 3 3    38  5 5 4 6 5 4 3 2    28  5 5 3 4 3 3 3 3
2017 03 29    17  3 3 4 3 4 3 1 3    52  4 4 7 6 6 5 2 2    21  4 4 4 4 3 4 2 3
2017 03 30    18  3 4 4 2 2 3 3 4    29  3 4 4 5 5 4 3 4    23  3 5 3 3 3 4 4 5
2017 03 31    21  4 4 4 3 4 3 3 3    64  4 4 7 7 6 6 2 2     8  5 5 5 4 4 3 3 4
2017 04 01    15  3 2 4 2 3 4 3 2    43  4 3 6 6 5 6 1 2    16  3 3 3 3 2 4 3 3
2017 04 02     6  2 2 2 1 2 2 2 1    12  2 1 4 1 4 4 1 0     8  3 2 2 2 3 2 1 1
2017 04 03     4  1 1 0 1 3 1 1 1     5  0 1 0 3 3 2 0 0     4  1 1 0 2 2 1 0 1
2017 04 04    17  2 3 5 4 3 1 1 3    28  2 4 6 6 3 1 1 2    20  2 4 5 5 3 1 1 3
2017 04 05    10  1 1 3 1 2 3 3 3     5  1 2 3 1 1 1 1 1    10  2 1 3 2 1 2 2 4
2017 04 06     5  1 0 1 1 2 2 2 2    20  1 1 1 3 5 6 2 1     7  2 1 1 2 2 3 2 1
2017 04 07     9  2 2 2 2 2 1 3 3     8  1 2 4 3 1 0 1 2    10  3 2 2 2 1 1 3 4
2017 04 08    14  3 3 3 2 3 2 2 4    20  3 3 5 5 2 2 2 3    16  4 3 4 2 2 2 3 4
2017 04 09    16  4 5 3 3 2 2 1 1    31  4 5 5 5 5 4 0 0    18  4 5 4 3 3 2 1 1
2017 04 10     5  2 1 1 1 2 1 1 2     4  2 0 0 0 1 2 3 1     5  2 1 1 1 2 1 1 2
2017 04 11    10  1 1 3 3 3 2 3 2    17  1 0 3 6 3 2 3 1    12  1 2 3 4 3 2 3 2
2017 04 12     6  3 2 2 1 2 1 1 0    10  2 3 4 4 1 0 0 0     6  3 3 2 2 1 0 0 0
2017 04 13     4  0 1 1 1 2 1 2 1     2  0 1 0 0 1 1 1 1     5  1 2 1 0 1 1 2 2
2017 04 14    10  3 3 3 2 2 2 2 2    25  2 3 4 5 5 5 2 1    14  3 4 3 2 3 2 3 2
2017 04 15     5  2 2 2 1 2 1 1 0     4  2 3 2 0 1 1 0 0     7  3 2 2 1 1 1 1 1
2017 04 16     4  1 1 2 2 1 1 1 1     5  1 0 2 4 0 0 0 0     4  1 1 2 2 0 1 1 1
2017 04 17     3  0 0 2 1 2 1 1 1     3  0 0 3 1 1 1 0 0     4  0 1 2 1 1 1 0 1
2017 04 18     6  2 0 1 1 2 1 2 3     7  1 0 0 3 4 1 1 2     7  2 1 1 1 2 1 1 3
2017 04 19    12  3 4 3 2 1 1 3 2    20  3 5 5 4 1 2 2 2    15  3 5 3 2 0 2 3 3
2017 04 20    20  4 5 4 4 2 2 2 2    44  4 6 5 6 6 3 3 2    30  5 6 4 5 3 3 3 3
2017 04 21    11  0 2 1 1 2 3 4 4    19  1 2 2 0 5 5 3 4    19  1 2 1 1 2 4 5 5
2017 04 22    37  6 5 4 4 5 4 3 4    86  4 6 7 8 6 6 3 4    54  5 6 5 5 6 5 4 6
2017 04 23    24  4 4 4 4 4 3 3 4    71  4 3 8 6 6 6 4 3    41  4 4 6 5 5 5 4 4
2017 04 24    19  4 4 4 4 2 2 3 3    36  3 3 6 6 4 4 4 3    20  4 4 4 4 2 3 4 3
2017 04 25    10  3 3 3 2 2 1 2 2    28  3 2 5 6 5 3 2 1    12  4 3 3 3 3 2 3 2
2017 04 26     8  3 1 3 1 2 2 2 1    14  2 3 4 3 3 3 2 2     9  3 2 3 2 2 2 2 2
2017 04 27    10  2 3 3 0 2 1 4 2    11  2 3 5 2 1 1 1 1     7  2 3 3 1 1 1 2 2
2017 04 28     6  1 1 2 1 2 2 1 3     7  1 1 4 2 1 1 1 1     6  1 1 2 1 2 1 1 2
2017 04 29     6  2 2 2 1 1 2 2 2     8  2 1 3 3 3 1 0 1     6  2 1 2 2 1 1 2 2
2017 04 30     6  2 1 1 1 2 2 2 2     8  2 1 2 4 1 1 2 1     6  2 1 2 2 1 1 2 2
2017 05 01     5  2 2 1 1 1 1 1 2     2  1 2 0 0 0 0 1 1     5  2 2 0 0 1 1 1 2
2017 05 02     4  1 2 1 1 1 1 1 1     2  0 2 1 0 0 0 0 1     5  1 2 1 1 1 1 0 2
2017 05 03     2  0 0 1 1 2 1 0 0     5  1 0 0 4 2 1 0 0     4  1 1 1 1 2 1 0 0
2017 05 04     6  0 2 1 1 1 0 2 4     2  0 1 1 0 0 0 1 2     7  0 2 2 1 1 0 1 4
2017 05 05     5  3 2 0 0 2 1 1 1     2  2 2 0 0 0 0 0 0     6  3 2 1 1 2 0 0 1
2017 05 06     5  1 2 1 2 2 1 1 2     2  1 2 1 0 0 0 1 0     5  1 2 1 1 1 1 1 1
2017 05 07     7  2 2 3 1 2 1 2 2    12  1 2 5 3 2 2 1 1     8  2 3 3 1 1 1 3 2
2017 05 08     7  2 1 2 2 3 1 2 1     7  3 2 3 2 0 1 1 1     6  2 1 2 2 1 1 2 1
2017 05 09     5  1 1 1 2 2 2 1 1     3  1 1 2 1 1 1 0 0     6  1 1 2 1 2 2 1 2
2017 05 10     6  2 1 0 1 3 1 1 3     2  1 1 0 0 1 0 1 1     6  2 1 1 0 2 1 1 3
2017 05 11     8  2 3 2 1 2 2 2 2     4  2 3 1 0 0 0 0 1     6  1 3 2 1 1 1 1 2
2017 05 12     6  1 1 2 2 3 1 2 1     7  2 1 3 3 2 1 1 1     7  2 1 2 2 3 1 1 1
2017 05 13     5  1 2 1 1 1 1 2 2     2  0 1 0 0 0 1 1 1     4  1 2 1 1 1 1 1 1
2017 05 14    11  2 2 1 3 3 2 3 3    11  2 2 3 4 3 2 1 1    10  2 2 2 3 3 2 2 3
2017 05 15    17  1 2 3 4 2 3 5 3    11  0 2 3 4 3 2 2 2    14  1 2 2 4 2 3 4 3
2017 05 16    10  3 3 2 1 3 2 2 2    13  2 1 2 4 5 1 1 1     9  3 3 2 2 3 1 1 2
2017 05 17     9  2 2 3 2 3 2 2 2    17  2 2 5 5 3 1 1 1     8  2 2 3 3 2 1 2 2
2017 05 18    15  4 3 4 3 3 2 2 2    13  2 4 5 3 0 1 1 1    11  4 3 3 2 1 1 1 2
2017 05 19    13  2 3 3 2 3 3 3 3    23  1 2 3 2 5 6 3 2    11  2 3 2 1 2 3 3 3
2017 05 20    23  4 4 4 4 4 3 3 3    -1  4 5 5 6 2-1-1-1    24  4 4 4 4 4 4 3 3
2017 05 21    10  3 3 3 2 2 2 2 2    20  3 4 5 5 2 2 2 1     9  3 3 3 2 2 2 2 2
2017 05 22     9  2 2 1 2 3 2 2 3    17  2 2 3 5 4 3 2 2    10  2 2 2 2 3 2 3 3
2017 05 23     8  2 3 2 1 3 1 2 1    12  3 4 2 3 3 2 1 1     8  2 3 2 1 2 1 2 2
2017 05 24     4  1 2 1 2 2 1 1 0     5  2 1 1 2 3 1 0 0     4  2 2 1 1 1 1 0 1
2017 05 25     4  0 0 0 2 2 2 1 2     2  0 1 0 0 1 1 0 1     4  0 1 0 1 1 1 1 2
2017 05 26     3  1 1 0 1 2 1 1 1     1  1 0 0 2 0 0 0 0     3  1 1 1 1 1 0 1 1
2017 05 27    14  1 0 0 1 2 3 2 6     4  1 0 0 0 1 2 2 3    14  1 1 0 1 1 3 2 6
2017 05 28    32  5 6 5 5 3 2 2 1    84  4 9 6 6 5 4 2 0    51  6 7 6 5 4 2 1 1
2017 05 29    10  1 1 2 2 4 3 3 1    33  1 1 1 4 6 7 2 1    10  1 1 2 2 4 3 3 1
2017 05 30     6  2 3 2 1 2 1 1 0     4  2 3 1 1 1 0 1 0     7  2 4 2 1 1 1 1 1
2017 05 31     5  1 2 0 0 3 1 1 2     2  0 2 0 0 1 0 1 1     4  1 2 1 0 2 0 1 2
2017 06 01     6  1 1 1 1 2 2 2 3     3  0 1 0 0 1 2 2 2     7  1 1 1 1 1 3 2 3
2017 06 02     6  2 2 1 2 2 2 2 1     3  1 1 1 2 0 0 1 1     5  2 2 1 1 1 1 1 1
2017 06 03     9  0 1 2 2 4 3 2 2    20  0 0 1 3 5 6 2 1     9  0 1 2 2 3 4 2 1
2017 06 04     3  1 1 0 1 2 1 1 1     1  1 0 1 0 0 0 1 0     3  1 1 1 0 1 0 0 1
2017 06 05     5  0 1 1 1 3 1 2 1     3  0 1 0 1 2 2 1 1     5  1 2 1 1 2 1 1 2
2017 06 06     5  2 3 1 1 1 1 1 1     5  2 2 1 0 3 1 0 1     5  2 2 1 1 2 1 1 1
2017 06 07     5  1 2 2 1 1 2 1 2     5  2 2 2 2 1 1 0 1     5  1 2 2 1 1 1 0 2
2017 06 08     5  1 0 0 1 2 2 3 1     1  1 1 0 0 0 0 0 1     4  1 0 1 1 2 1 1 1
2017 06 09     6  2 1 0 2 3 2 2 0     1  1 1 0 1 0 0 0 0     5  3 1 1 1 1 1 1 1
2017 06 10     5  1 1 1 1 2 2 2 1     2  1 1 1 1 0 0 0 0     4  1 1 1 1 1 1 1 1
2017 06 11    14  1 2 3 2 3 4 4 2     9  1 2 2 1 2 4 3 1    17  1 2 3 2 3 5 4 3
2017 06 12     6  1 1 1 1 3 2 2 2     9  1 2 1 1 4 3 2 2     8  2 2 2 1 2 2 2 3
2017 06 13     6  2 2 1 3 2 1 1 1     7  2 1 1 4 1 2 1 1     8  3 2 1 3 1 2 2 1
2017 06 14     6  1 1 2 2 2 2 1 2     7  0 2 1 3 4 1 0 0     5  0 1 2 2 2 2 1 1
2017 06 15     5  2 1 1 2 2 2 1 0     3  1 1 0 2 0 0 2 0     4  2 1 1 1 1 1 1 0
2017 06 16    18  2 2 4 3 4 3 3 4    30  0 2 4 5 6 5 3 3    25  1 2 4 3 5 4 3 5
2017 06 17    12  3 4 1 2 2 2 3 3    17  4 4 2 3 4 3 2 2    15  4 4 2 2 2 2 4 3
2017 06 18     9  3 2 1 2 3 2 2 2    20  4 4 3 5 4 2 1 2    10  3 3 2 2 3 2 2 2
2017 06 19     7  2 3 2 2 2 1 1 1    12  2 2 2 5 4 1 0 0     5  1 2 2 2 1 1 0 1
2017 06 20     3  0 1 0 1 2 2 1 0     1  0 1 1 1 0 0 0 0     3  1 1 1 1 1 1 0 0
2017 06 21     3  0 0 0 1 2 1 2 2     1  0 0 0 0 0 0 1 1     4  1 1 1 1 1 1 2 2
2017 06 22     8  3 2 1 1 2 1 3 2     5  2 3 2 1 0 1 1 0     6  3 2 1 1 1 1 3 2
2017 06 23     6  1 1 1 1 3 2 2 2     7  2 1 0 4 1 0 2 2     5  1 1 1 2 1 1 2 2
2017 06 24     8  2 1 2 2 2 2 2 3    11  1 2 3 4 2 3 2 1     9  2 1 2 3 2 2 3 3
2017 06 25    11  2 2 4 2 2 2 3 2    24  3 4 6 4 4 2 1 1    11  2 2 4 3 2 2 2 2
2017 06 26     9  3 2 1 3 2 2 2 2    14  3 2 2 5 3 2 1 2     7  3 2 1 2 2 1 2 2
2017 06 27     5  1 1 1 2 2 2 1 1     5  2 1 1 2 3 1 1 0     5  2 2 1 1 1 1 0 1
2017 06 28     5  1 2 2 2 2 2 1 0     6  2 1 1 3 1 3 0 0     5  1 2 2 2 1 1 0 1
2017 06 29     6  1 2 2 3 2 2 1 0     7  1 2 3 4 0 0 0 1     5  1 2 2 2 1 1 1 1
2017 06 30     4  0 0 1 1 2 2 2 2     2  0 0 1 1 2 0 0 1     6  0 1 1 1 2 1 1 2
2017 07 01    14  2 4 3 2 3 3 3 2    15  2 4 3 1 4 4 2 1    11  2 3 3 2 3 3 3 2
2017 07 02    20  3 3 4 4 3 3 3 4    22  2 3 6 4 4 1 2 2    18  3 2 5 4 3 2 3 4
2017 07 03     7  2 3 2 2 2 1 1 1     6  1 3 1 3 1 1 1 0     5  2 2 1 2 1 1 1 1
2017 07 04     5  1 1 1 2 2 1 2 2     2  1 2 1 0 0 0 0 1     4  1 1 1 1 1 1 1 2
2017 07 05     2  1 1 0 1 1 0 1 1     0  0 0 0 0 0 0 0 0     3  1 1 1 1 1 0 0 1
2017 07 06     8  0 1 2 2 2 3 2 3     3  0 1 1 0 1 2 1 2     7  1 1 2 2 2 2 2 3
2017 07 07     5  2 2 1 1 2 1 1 2     3  2 2 0 0 1 0 1 1     5  2 2 1 1 1 1 1 2
2017 07 08     3  1 0 1 1 2 1 1 1     0  0 1 0 0 0 0 0 0     3  1 1 1 1 1 0 1 1
2017 07 09    26  5 3 3 5 3 3 4 4    28  4 4 3 6 3 4 3 3    28  5 4 2 5 2 3 4 4
2017 07 10    11  3 4 1 1 2 2 3 2    12  4 4 2 2 1 2 2 2     9  3 4 2 1 1 2 1 2
2017 07 11     9  2 3 3 2 2 2 1 2    13  2 4 4 2 3 2 2 1     8  2 3 3 2 1 2 1 2
2017 07 12     5  1 1 1 2 2 2 1 1     4  1 2 1 1 2 2 1 0     4  1 1 1 1 1 1 0 1
2017 07 13     5  1 1 1 1 2 2 2 2     4  1 1 0 1 3 1 1 0     4  1 1 1 1 1 1 1 2
2017 07 14     3  1 1 0 1 2 1 1 1     3  1 1 0 0 0 0 3 0     4  1 1 1 1 1 1 0 1
2017 07 15     4  1 1 1 1 2 1 1 1     1  0 1 1 0 0 0 0 0     4  1 1 1 1 1 1 1 1
2017 07 16    29  2 1 4 5 4 4 5 5    91  1 1 5 7 9 6 4 4    41  2 1 4 5 6 5 6 5
2017 07 17    23  3 4 4 4 4 5 2 2    54  3 4 6 6 6 7 1 2    27  3 4 4 4 4 6 2 2
2017 07 18     7  3 3 1 1 2 1 1 1    13  3 4 3 1 2 1 4 1     7  3 3 2 1 2 1 0 1
2017 07 19     5  1 1 1 2 2 2 1 1     2  1 1 0 2 0 0 0 1     4  1 1 0 1 1 1 1 1
2017 07 20     6  0 2 1 1 2 2 2 3     6  1 2 1 1 1 1 3 2     7  1 2 1 1 1 2 3 3
2017 07 21    13  3 4 2 1 3 3 1 3    19  3 4 3 2 4 5 2 2    14  4 3 3 1 2 3 1 3
2017 07 22    18  3 2 4 5 2 2 3 3    31  3 3 6 6 3 3 3 3    16  3 2 4 5 2 2 2 3
2017 07 23    16  3 3 4 3 3 2 2 4    35  2 3 6 6 6 2 2 2    14  3 3 3 3 3 2 2 4
2017 07 24    13  3 3 4 3 2 1 2 3    21  2 3 5 4 5 3 1 2    12  3 3 3 2 2 2 2 4
2017 07 25     9  3 2 2 2 2 2 2 3    18  3 2 4 4 5 2 2 2     9  2 2 2 2 3 2 2 3
2017 07 26    15  4 3 5 2 2 2 1 1    19  3 2 5 5 4 2 1 0    11  3 2 4 2 2 2 1 1
2017 07 27     8  1 2 2 1 3 2 1 3    12  0 1 1 1 2 4 1 5     6  1 1 2 1 2 2 1 3
2017 07 28     7  2 1 1 2 3 2 2 1    11  2 2 0 3 2 5 1 1     7  2 1 1 2 2 3 3 2
2017 07 29     4  1 1 2 2 2 1 0 1     4  1 1 1 2 1 2 1 0     4  1 1 2 1 1 1 0 1
2017 07 30    -1 -1-1-1-1-1-1-1-1    -1 -1-1-1-1-1-1-1-1     4  1 2 1 1 1 0 1 0
2017 07 31     2 -1-1-1-1-1 0-1 1     8 -1-1-1-1-1 0-1 3     3  0 1 0 1 1 0 0 1
2017 08 01    10  1 1 2 2 4 3 2 2     2  1 1 1-1 0 1 0 1     6  1 1 2 2 3 1 1 1
2017 08 02     8  1 1 1 2 4 2 2 1     5  1 1 0 0 3 3 0 0     5  1 1 1 1 2 2 1 1
2017 08 03    11  1 1 1 2 3 3 3 4     6  0 0 0 0 1 4 2 2    12  1 1 1 1 2 4 4 4
2017 08 04    19  2 4 4 3 4 3 3 3    39  1 3 6 5 6 5 4 2    23  3 4 4 4 4 4 3 3
2017 08 05    17  3 4 3 2 4 3 3 3    35  3 4 6 4 5 5 4 2    16  3 4 3 2 3 3 3 3
2017 08 06    13  3 3 2 4 3 1 3 2    23  3 3 4 6 4 2 2 2    13  3 3 3 4 2 1 2 2
2017 08 07     6  1 2 2 3 2 1 1 1     7  1 1 2 4 3 1 0 0     5  1 2 2 2 2 1 0 1
2017 08 08     5  0 1 0 2 3 2 2 1     5  1 0 1 1 1 2 1 3     5  1 1 1 1 1 2 2 1
2017 08 09     5  0 1 2 1 2 1 2 2     4  1 0 1 2 3 1 1 0     5  1 1 2 1 1 1 1 2
2017 08 10     7  0 1 1 2 4 2 2 1     4  0 2 1 3 1 1 0 0     5  1 1 2 2 2 1 0 2
