:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 1230 UT 29 May 2019
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2019 04 15     8  1 1 3 2 2 1 3 2     8  1 1 3 4 2 0 2 1     8  2 2 3 2 2 1 2 2
2019 04 16     6  2 1 3 2 2 0 1 1    12  2 1 5 2 4 0 0 0     6  2 2 3 2 2 1 1 1
2019 04 17     3  1 1 0 1 1 1 1 1     1  1 0 0 0 0 0 1 1     3  1 0 1 0 0 1 2 1
2019 04 18     2  0 0 0 1 2 0 1 1     0  0 0 0 0 0 0 0 0     2  0 0 0 0 1 0 1 0
2019 04 19     4  0 1 2 1 1 1 2 1     3  0 0 0 2 2 1 1 0     4  0 0 1 2 1 1 2 1
2019 04 20     4  1 1 1 1 2 1 1 1     1  0 1 0 1 0 0 1 0     4  1 1 1 1 1 1 1 1
2019 04 21     4  1 1 1 1 2 1 1 1     2  1 0 1 2 0 0 0 0     4  2 1 1 1 1 0 0 1
2019 04 22     4  0 1 2 2 2 1 1 1     2  0 0 2 0 0 1 1 0     4  1 1 1 1 1 1 1 1
2019 04 23     8  1 2 1 1 2 2 3 3     4  0 0 0 2 2 2 2 2     8  1 1 0 1 1 2 3 3
2019 04 24     6  3 1 0 2 2 2 1 2    10  2 1 0 4 4 3 1 0     7  3 1 0 2 2 2 1 2
2019 04 25     4  1 2 2 1 1 0 1 1     9  1 2 2 4 4 1 0 0     5  1 2 2 2 2 0 1 0
2019 04 26     2  0 0 0 1 2 1 1 1     3  0 0 0 2 2 2 1 1     4  1 0 1 1 1 1 1 2
2019 04 27     5  1 0 2 2 2 1 2 2     8  1 0 3 4 3 0 0 1     6  1 0 2 2 2 1 2 2
2019 04 28     4  1 1 1 1 1 1 2 1     6  1 1 3 2 1 2 1 1     5  1 1 2 1 1 1 2 2
2019 04 29     6  2 2 0 1 3 2 1 1     3  1 1 0 1 2 2 0 0     5  2 2 0 1 1 2 1 1
2019 04 30     4  1 1 0 1 3 1 1 1     5  1 1 0 1 3 2 1 1     5  2 1 0 1 2 1 2 1
2019 05 01     8  0 2 2 1 3 1 3 3    10  1 2 2 3 3 2 2 3    11  1 2 2 2 2 2 3 4
2019 05 02    13  4 3 3 2 3 2 3 1    19  3 4 4 4 4 2 3 1    12  4 4 3 2 2 2 2 2
2019 05 03     8  2 2 2 1 3 1 2 3     9  2 2 3 3 2 1 2 2     7  2 2 2 1 2 1 2 3
2019 05 04     9  1 2 3 3 3 2 2 1    22  1 3 4 5 5 4 1 1    10  1 2 3 3 3 2 2 2
2019 05 05     4  2 1 0 1 2 1 1 1     2  1 1 0 0 1 1 0 0     4  2 1 0 0 1 1 0 1
2019 05 06     5  1 0 0 2 3 2 2 1     5  1 1 0 3 2 2 1 1     5  1 1 0 2 2 1 2 2
2019 05 07     5  1 2 1 1 2 2 2 1     4  2 2 1 0 2 1 1 1     5  2 2 1 1 1 1 2 1
2019 05 08     2  0 1 0 0 2 1 1 1     1  1 1 0 0 0 0 0 1     3  0 1 0 0 1 0 0 1
2019 05 09     8  1 2 3 2 2 2 2 2     7  2 2 3 3 1 0 1 1     7  1 2 3 2 1 1 2 2
2019 05 10     7  1 2 1 1 1 2 3 3     5  2 1 2 2 0 2 2 1     7  2 2 1 1 1 2 3 3
2019 05 11    19  4 4 4 4 3 2 2 3    63  5 4 6 7 7 5 3 2    25  5 4 4 4 4 2 3 4
2019 05 12     5  2 1 2 1 1 1 1 2     4  2 1 2 2 0 0 1 1     4  2 1 1 0 0 0 1 2
2019 05 13     5  0 0 1 2 2 2 1 3     9  1 1 1 3 2 4 2 2     6  1 1 1 2 1 2 1 2
2019 05 14    23  3 5 5 4 3 3 3 1    45  3 7 6 5 4 4 3 2    36  3 6 7 4 2 3 4 2
2019 05 15     8  1 2 2 1 3 2 3 1     4  0 2 1 0 1 2 2 1     6  1 2 2 1 2 2 2 1
2019 05 16     9  2 2 2 1 3 2 2 3     5  1 2 1 2 1 1 2 2     8  2 2 2 1 2 1 3 3
2019 05 17     7  3 2 2 1 3 1 1 1     5  3 2 1 1 2 1 0 0     5  3 2 1 1 2 1 0 1
2019 05 18     8  1 1 2 4 2 2 2 1    10  1 1 4 5 0 0 0 0     5  1 1 2 2 1 0 1 0
2019 05 19     3  0 0 1 1 2 1 1 2     1  0 0 1 0 0 0 0 1     3  0 0 1 1 1 1 0 2
2019 05 20     7  3 2 2 1 2 1 2 2     3  2 2 2 1 0 1 0 0     6  3 2 1 1 1 1 1 1
2019 05 21     4  1 2 1 1 2 1 1 1     2  1 0 0 0 2 0 0 1     4  1 2 1 1 2 0 0 1
2019 05 22     5  0 1 2 2 2 2 1 1     2  0 1 1 2 1 0 0 1     4  0 1 2 1 1 1 1 1
2019 05 23     5  1 1 1 2 2 2 1 2     4  2 1 0 3 1 1 0 1     5  1 1 1 2 1 1 1 2
2019 05 24     6  1 2 1 2 2 2 2 2     3  1 2 1 0 1 1 1 1     5  1 2 1 1 1 1 2 2
2019 05 25     3  1 0 1 1 1 1 2 1     1  0 0 0 0 1 0 1 1     4  1 1 0 1 1 1 2 2
2019 05 26     6  1 1 1 1 2 2 2 3     1  1 0 0 0 0 0 0 1     5  1 1 1 0 1 1 1 3
2019 05 27    12  2 3 4 2 3 3 2 1    14  3 3 4 4 3 2 1 0    10  3 3 3 2 1 3 2 1
2019 05 28     9  1 0 2 2 3 2 3 3     4  1 1 1 1 1 1 2 2     8  1 1 2 2 2 2 3 3
2019 05 29    -1  3 4 4 3-1-1-1-1    -1  4 4 6 5-1-1-1-1    14  3 4 3 3-1-1-1-1
